path,split,condition,shape,size,rotation,rand_bg,gauss_noise
dataset/train/FLFR/circle/circle_FLFR_00000.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00001.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00002.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00003.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00004.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00005.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00006.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00007.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00008.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00009.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00010.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00011.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00012.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00013.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00014.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00015.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00016.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00017.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00018.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00019.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00020.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00021.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00022.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00023.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00024.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00025.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00026.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00027.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00028.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00029.png,train,FLFR,circle,70,90,True,True
dataset/train/FLFR/circle/circle_FLFR_00030.png,train,FLFR,circle,70,90,True,True
